City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description,Wind Speed,Country,Date
salalah,17.0151,54.0924,82.45,80,31,scattered clouds,4.03,OM,1651176170
preston,53.7667,-2.7167,50.67,67,100,overcast clouds,4.83,GB,1651176112
sandwick,60.0,-1.25,46.22,93,75,light rain,4.61,GB,1651176171
cherskiy,68.75,161.3,15.69,95,100,overcast clouds,9.44,RU,1651176172
puri,19.8,85.85,82.92,88,4,clear sky,20.51,IN,1651175973
punakha,27.5837,89.8598,65.41,85,91,overcast clouds,2.21,BT,1651176172
mahebourg,-20.4081,57.7,74.25,94,20,few clouds,5.75,MU,1651176173
milkovo,54.7167,158.6167,32.07,91,100,overcast clouds,7.83,RU,1651176173
corinth,37.9407,22.9573,66.88,53,18,few clouds,2.37,GR,1651176174
mar del plata,-38.0023,-57.5575,51.87,78,35,scattered clouds,15.01,AR,1651176174
tawau,4.2498,117.8871,78.06,84,99,overcast clouds,2.64,MY,1651176174
isangel,-19.55,169.2667,77.95,74,100,moderate rain,20.15,VU,1651176175
kahului,20.8947,-156.47,80.83,75,35,scattered clouds,10.0,US,1651176175
mount gambier,-37.8333,140.7667,63.5,66,93,light rain,7.78,AU,1651176176
martin,27.0837,-80.4164,82.94,84,43,light rain,14.72,US,1651176176
emirdag,39.0197,31.15,59.54,65,43,scattered clouds,4.41,TR,1651176177
hokitika,-42.7167,170.9667,52.36,85,0,clear sky,4.59,NZ,1651176177
half moon bay,37.4636,-122.4286,66.06,61,0,clear sky,25.32,US,1651176177
piranshahr,36.701,45.1413,52.61,83,89,overcast clouds,3.53,IR,1651176178
norman wells,65.282,-126.8329,35.1,72,100,overcast clouds,5.08,CA,1651176178
necochea,-38.5473,-58.7368,52.72,59,87,light rain,19.1,AR,1651176007
olafsvik,64.8945,-23.7142,45.16,81,46,scattered clouds,9.53,IS,1651176179
lahaina,20.8783,-156.6825,79.84,79,35,scattered clouds,4.88,US,1651175959
geraldton,-28.7667,114.6,54.01,94,0,clear sky,4.61,AU,1651176179
taoudenni,22.6783,-3.9836,90.63,8,0,clear sky,5.61,ML,1651176180
kaitangata,-46.2817,169.8464,43.43,95,14,few clouds,3.58,NZ,1651175940
jamestown,42.097,-79.2353,47.52,39,0,clear sky,7.0,US,1651175945
angoche,-16.2325,39.9086,74.75,71,20,few clouds,10.51,MZ,1651176240
hasaki,35.7333,140.8333,54.28,74,99,overcast clouds,12.75,JP,1651176241
kemin,42.7846,75.6892,52.34,44,28,scattered clouds,11.14,KG,1651176242
salinopolis,-0.6136,-47.3561,80.51,82,95,overcast clouds,10.33,BR,1651175974
marshfield,44.6689,-90.1718,49.66,46,100,overcast clouds,13.8,US,1651176191
castro,-24.7911,-50.0119,68.77,84,91,overcast clouds,4.43,BR,1651176242
poya,-21.35,165.15,69.01,95,100,overcast clouds,8.81,NC,1651176243
jacareacanga,-6.2222,-57.7528,84.58,70,93,overcast clouds,4.5,BR,1651176243
krasnoyarka,55.3333,73.1167,60.75,42,100,overcast clouds,11.54,RU,1651176244
kutum,14.2,24.6667,82.15,10,100,overcast clouds,7.58,SD,1651176244
tarabuco,-19.1667,-64.9167,58.73,58,33,scattered clouds,13.06,BO,1651176245
shahr-e babak,30.1165,55.1186,65.43,20,54,broken clouds,5.97,IR,1651176245
ruteng,-8.6136,120.4721,62.53,92,51,broken clouds,1.86,ID,1651176245
kununurra,-15.7667,128.7333,75.18,88,99,overcast clouds,0.0,AU,1651176246
peleduy,59.6289,112.7406,23.79,95,92,overcast clouds,3.6,RU,1651176246
oistins,13.0667,-59.5333,79.77,76,100,overcast clouds,15.64,BB,1651176247
salinas,36.6777,-121.6555,65.98,55,75,broken clouds,16.11,US,1651176247
alice,27.7523,-98.0697,89.04,55,75,broken clouds,19.57,US,1651176247
ambilobe,-13.2,49.05,72.93,96,31,scattered clouds,2.77,MG,1651176248
ciudad guayana,8.3533,-62.6528,85.51,68,94,overcast clouds,5.53,VE,1651176073
qaanaaq,77.484,-69.3632,30.38,88,100,light snow,4.76,GL,1651176248
saskylakh,71.9167,114.0833,23.45,95,100,overcast clouds,7.49,RU,1651176249
maamba,-17.3667,27.15,63.66,79,0,clear sky,2.93,ZM,1651176250
ancud,-41.8697,-73.8203,49.37,68,100,overcast clouds,1.34,CL,1651176250
kamarion,36.8,25.8167,64.74,84,3,clear sky,15.61,GR,1651176250
bulawayo,-20.15,28.5833,51.57,84,0,clear sky,5.59,ZW,1651176251
nikolskoye,59.7035,30.7861,36.81,62,100,overcast clouds,4.72,RU,1651176252
harper,4.375,-7.7169,80.55,82,91,overcast clouds,5.68,LR,1651176252
carutapera,-1.195,-46.02,78.46,90,100,overcast clouds,7.45,BR,1651176253
aleksandrov gay,50.147,48.5704,51.57,72,0,clear sky,9.69,RU,1651176254
gushikawa,26.3544,127.8686,78.39,89,40,scattered clouds,13.8,JP,1651176254
hovd,48.0056,91.6419,39.49,32,0,clear sky,0.2,MN,1651176254
ayan,56.45,138.1667,30.81,71,100,overcast clouds,11.25,RU,1651176255
dicabisagan,17.0818,122.4157,78.58,89,35,scattered clouds,4.36,PH,1651176256
beringovskiy,63.05,179.3167,20.62,96,88,overcast clouds,9.95,RU,1651176256
aklavik,68.2191,-135.0107,18.0,82,100,overcast clouds,6.17,CA,1651176032
yerbogachen,61.2767,108.0108,28.18,90,100,overcast clouds,4.76,RU,1651176257
mandalgovi,45.7625,106.2708,31.21,32,6,clear sky,14.52,MN,1651176257
chuy,-33.6971,-53.4616,63.97,58,0,clear sky,8.12,UY,1651176254
atikokan,48.7555,-91.6216,45.72,59,100,overcast clouds,8.84,CA,1651176258
cabo san lucas,22.8909,-109.9124,88.61,30,0,clear sky,11.5,MX,1651175992
seminole,28.7086,-81.2081,84.15,61,40,scattered clouds,16.11,US,1651176258
frontera,26.9333,-101.45,85.75,48,0,clear sky,9.22,MX,1651176259
cabedelo,-6.9811,-34.8339,80.58,78,31,scattered clouds,14.65,BR,1651176259
