City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,resistencia,AR,72.09,overcast clouds,-27.4606,-58.9839,Niyat Urban Hotel
143,east london,ZA,66.24,clear sky,-33.0153,27.9116,Tu Casa
147,maragogi,BR,78.82,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
152,bambous virieux,MU,74.21,clear sky,-20.3428,57.7575,Casa Tia Villa
158,punakha,BT,65.41,overcast clouds,27.5837,89.8598,Kunzang Zhing Resort
159,mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
161,corinth,GR,66.88,few clouds,37.9407,22.9573,Ephira Hotel
163,tawau,MY,78.06,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
164,isangel,VU,77.95,moderate rain,-19.55,169.2667,Tanna Lodge
170,half moon bay,US,66.06,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
175,lahaina,US,79.84,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
180,angoche,MZ,74.75,few clouds,-16.2325,39.9086,Guest House HESADA
185,castro,BR,68.77,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
186,poya,NC,69.01,overcast clouds,-21.35,165.15,
191,shahr-e babak,IR,65.43,broken clouds,30.1165,55.1186,Duna Ecolodge
193,kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
195,oistins,BB,79.77,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
196,salinas,US,65.98,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
198,ambilobe,MG,72.93,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
204,kamarion,GR,64.74,clear sky,36.8,25.8167,Rooms Eleni
208,carutapera,BR,78.46,overcast clouds,-1.195,-46.02,Lidera
210,gushikawa,JP,78.39,scattered clouds,26.3544,127.8686,Kirari Guest House
213,dicabisagan,PH,78.58,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
224,abapo,BO,78.8,broken clouds,-18.8333,-63.4667,
225,sambava,MG,76.19,few clouds,-14.2667,50.1667,Melrose
227,lima,PE,70,broken clouds,-12.0432,-77.0282,Hotel Kamana
231,meulaboh,ID,77.41,broken clouds,4.1363,96.1285,Kost Pria
232,abonnema,NG,79.29,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
234,corinto,GR,66.88,few clouds,37.9407,22.9573,Ephira Hotel
243,ballina,AU,67.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
246,buchanan,LR,79.77,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
250,namibe,AO,72.88,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
257,forrest city,US,75.09,broken clouds,35.0081,-90.7898,Hampton Inn Forrest City
261,coquimbo,CL,65.32,clear sky,-29.9533,-71.3436,Hotel San Juan
264,miranda,CO,69.93,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
269,san cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
271,quatre cocos,MU,74.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
276,lang suan,TH,79.03,scattered clouds,9.9456,99.0785,Langsuan Resort
278,nokaneng,BW,68.02,clear sky,-19.6667,22.2667,
280,buta,CD,72.23,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
285,price,US,70.12,few clouds,39.5994,-110.8107,National 9 - Price River Inn
286,mindelo,CV,70.59,clear sky,16.8901,-24.9804,Hotel Gaudi
288,aptos,US,66.31,broken clouds,36.9772,-121.8994,Seascape Beach Resort
292,bowen,AU,72.28,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
293,villazon,BO,65.52,broken clouds,-22.0866,-65.5942,La Candelaria
294,mbanza-ngungu,CD,68.74,moderate rain,-5.25,14.8667,Hotel Full Business
295,mount isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
298,charters towers,AU,66.81,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
300,voh,NC,69.62,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
302,codrington,AU,64.8,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
304,hualmay,PE,70.39,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
305,mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
312,wanning,CN,78.73,overcast clouds,18.8003,110.3967,Paradise Hotel
321,diego de almagro,CL,79.02,clear sky,-26.3667,-70.05,hotel luna del desierto
322,kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
326,poum,NC,74.7,overcast clouds,-20.2333,164.0167,
334,soyo,AO,77.88,overcast clouds,-6.1349,12.3689,Hotel Mpampa
338,saint-pierre,RE,74.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
340,pangkalanbuun,ID,74.86,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
344,xam nua,LA,69.6,scattered clouds,20.4197,104.0439,Xee Wang Guesthouse
348,souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
351,bardiyah,LY,65.5,clear sky,31.7561,25.0865,بورتو بردية
353,monte gordo,PT,66.25,scattered clouds,37.1819,-7.4523,Alcazar Hotel & Spa
356,bundaberg,AU,65.21,broken clouds,-24.85,152.35,Takalvan Motel
357,tooele,US,70.68,overcast clouds,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
366,tumpat,MY,78.33,overcast clouds,6.1978,102.171,Baan Tanyong B&B
367,panjakent,TJ,68.94,overcast clouds,39.4952,67.6093,Salom Hostel
368,kabanjahe,ID,64.06,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
376,kiama,AU,64.99,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
386,manokwari,ID,78.03,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
388,arawa,PG,76.69,overcast clouds,-6.2132,155.5367,Coastline Guest House
389,buraydah,SA,72.05,scattered clouds,26.326,43.975,Mövenpick Qassim
391,cedral,MX,79.66,clear sky,23.8,-100.7333,Hotel Rocio
395,porto novo,BJ,79.72,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
396,grand-lahou,CI,79.47,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
398,bambanglipuro,ID,77.09,broken clouds,-7.95,110.2833,Puri Brata
399,danane,CI,72.32,light rain,7.2596,-8.155,Lmd
400,pokhara,NP,74.23,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
405,nikki,BJ,78.35,light rain,9.9401,3.2108,Monnon
411,chaman,PK,75.88,scattered clouds,30.9236,66.4512,Niamat parda Center chaman
420,luganville,VU,78.96,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
421,guerrero negro,MX,66.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
425,mumford,GH,79.95,overcast clouds,5.2618,-0.759,Spanish Villa
429,tanete,ID,75.6,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
